"Quarter","Region","Sex","Age","Employed, % (of population)","Underemployed, % (of employed)","Unemployment rate, % (of labour force)"
"2013Q3","Capital region","Males and females","25-64",84.9,3.9,4.7
"2013Q3","Capital region","Males","16-74",80.4,3.2,5.5
"2013Q3","Capital region","Males","16-24",73.7,5.2,9.0
"2013Q3","Capital region","Males","25-54",88.5,3.2,5.5
"2013Q3","Capital region","Males","55-74",65.8,1.6,1.7
"2013Q3","Capital region","Males","16-64",85.2,3.2,5.6
"2013Q3","Capital region","Males","25-64",88.3,2.8,4.8
"2013Q3","Capital region","Females","16-74",75.8,6.8,4.7
"2013Q3","Capital region","Females","16-24",80.6,12.8,6.6
"2013Q3","Capital region","Females","25-54",82.1,5.6,5.1
"2013Q3","Capital region","Females","55-74",59.3,4.5,1.9
"2013Q3","Capital region","Females","16-64",81.3,6.8,5.0
"2013Q3","Capital region","Females","25-64",81.5,5.3,4.5
"2013Q3","Outside Capital region","Males and females","16-74",81.1,3.9,3.0
"2013Q3","Outside Capital region","Males and females","16-24",77.2,12.4,7.7
"2013Q3","Outside Capital region","Males and females","25-54",90.6,2.2,2.2
"2013Q3","Outside Capital region","Males and females","55-74",65.3,2.9,1.8
"2013Q3","Outside Capital region","Males and females","16-64",86.2,3.9,3.1
"2013Q3","Outside Capital region","Males and females","25-64",88.2,2.2,2.1
"2013Q3","Outside Capital region","Males","16-74",84.3,2.4,2.9
"2013Q3","Outside Capital region","Males","16-24",76.2,12.7,8.0
"2013Q3","Outside Capital region","Males","25-54",94.2,0.3,1.9
"2013Q3","Outside Capital region","Males","55-74",72.2,0.8,2.1
"2013Q3","Outside Capital region","Males","16-64",89.3,2.5,2.9
"2013Q3","Outside Capital region","Males","25-64",92.5,0.5,1.9
"2013Q3","Outside Capital region","Females","16-74",77.7,5.8,3.1
"2013Q3","Outside Capital region","Females","16-24",78.5,12.0,7.2
"2013Q3","Outside Capital region","Females","25-54",87.1,4.2,2.6
"2013Q3","Outside Capital region","Females","55-74",56.7,6.2,1.3
"2013Q3","Outside Capital region","Females","16-64",82.9,5.4,3.2
"2013Q3","Outside Capital region","Females","25-64",83.8,4.2,2.4
"2013Q4","Total","Males and females","16-74",77.0,5.9,4.5
"2013Q4","Total","Males and females","16-24",70.3,16.4,7.5
"2013Q4","Total","Males and females","25-54",85.5,3.9,4.0
"2013Q4","Total","Males and females","55-74",63.7,3.7,3.6
"2013Q4","Total","Males and females","16-64",81.8,5.8,4.6
"2013Q4","Total","Males and females","25-64",84.7,3.6,3.9
"2013Q4","Total","Males","16-74",79.3,4.3,4.6
"2013Q4","Total","Males","16-24",64.7,16.2,9.9
"2013Q4","Total","Males","25-54",88.7,2.5,3.8
"2013Q4","Total","Males","55-74",69.6,1.4,2.9
"2013Q4","Total","Males","16-64",83.7,4.4,4.6
"2013Q4","Total","Males","25-64",88.6,2.2,3.5
"2013Q4","Total","Females","16-74",74.7,7.6,4.4
"2013Q4","Total","Females","16-24",76.1,16.5,5.4
"2013Q4","Total","Females","25-54",82.3,5.3,4.2
"2013Q4","Total","Females","55-74",57.8,6.4,4.3
"2013Q4","Total","Females","16-64",79.8,7.3,4.6
"2013Q4","Total","Females","25-64",80.7,5.1,4.4
"2013Q4","Capital region","Males and females","16-74",76.9,6.5,4.8
"2013Q4","Capital region","Males and females","16-24",71.6,16.6,7.0
"2013Q4","Capital region","Males and females","25-54",84.2,4.3,4.5
"2013Q4","Capital region","Males and females","55-74",64.7,4.3,3.9
"2013Q4","Capital region","Males and females","16-64",81.5,6.3,4.8
"2013Q4","Capital region","Males and females","25-64",84.2,4.0,4.3
"2013Q4","Capital region","Males","16-74",78.5,5.5,4.9
"2013Q4","Capital region","Males","16-24",65.6,18.3,9.1
"2013Q4","Capital region","Males","25-54",86.9,3.5,4.4
"2013Q4","Capital region","Males","55-74",69.5,1.8,3.2
"2013Q4","Capital region","Males","16-64",82.6,5.5,4.9
"2013Q4","Capital region","Males","25-64",87.3,2.9,3.9
"2013Q4","Capital region","Females","16-74",75.4,7.6,4.7
"2013Q4","Capital region","Females","16-24",77.7,15.1,5.1
"2013Q4","Capital region","Females","25-54",81.5,5.3,4.6
"2013Q4","Capital region","Females","55-74",59.8,7.2,4.7
"2013Q4","Capital region","Females","16-64",80.4,7.2,4.8
"2013Q4","Capital region","Females","25-64",81.1,5.1,4.7
"2013Q4","Outside Capital region","Males and females","16-74",77.2,4.7,3.9
"2013Q4","Outside Capital region","Males and females","16-24",67.4,15.9,8.8
"2013Q4","Outside Capital region","Males and females","25-54",87.9,3.0,3.1
"2013Q4","Outside Capital region","Males and females","55-74",62.2,2.6,3.0
"2013Q4","Outside Capital region","Males and females","16-64",82.3,4.8,4.1
"2013Q4","Outside Capital region","Males and females","25-64",85.5,2.9,3.2
"2013Q4","Outside Capital region","Males","16-74",81.0,2.2,3.9
"2013Q4","Outside Capital region","Males","16-24",62.8,11.4,11.7
"2013Q4","Outside Capital region","Males","25-54",92.1,0.8,2.7
"2013Q4","Outside Capital region","Males","55-74",69.9,0.8,2.4
"2013Q4","Outside Capital region","Males","16-64",85.8,2.3,4.0
"2013Q4","Outside Capital region","Males","25-64",90.8,0.9,2.7
"2013Q4","Outside Capital region","Females","16-74",73.5,7.5,3.9
"2013Q4","Outside Capital region","Females","16-24",72.2,20.0,5.9
"2013Q4","Outside Capital region","Females","25-54",83.7,5.3,3.5
"2013Q4","Outside Capital region","Females","55-74",54.5,5.0,3.7
"2013Q4","Outside Capital region","Females","16-64",78.7,7.5,4.1
"2013Q4","Outside Capital region","Females","25-64",80.1,5.2,3.7
"2014Q1","Total","Males and females","16-74",74.9,6.4,5.7
"2014Q1","Total","Males and females","16-24",65.1,19.5,11.4
"2014Q1","Total","Males and females","25-54",83.3,4.2,5.1
"2014Q1","Total","Males and females","55-74",63.8,2.9,3.1
"2014Q1","Total","Males and females","16-64",79.6,6.4,5.9
"2014Q1","Total","Males and females","25-64",83.2,3.8,4.7
"2014Q1","Total","Males","16-74",77.5,4.7,6.5
"2014Q1","Total","Males","16-24",59.1,17.6,16.1
"2014Q1","Total","Males","25-54",87.1,3.0,5.2
"2014Q1","Total","Males","55-74",70.1,1.8,3.6
"2014Q1","Total","Males","16-64",81.5,4.7,6.8
"2014Q1","Total","Males","25-64",87.2,2.5,5.0
"2014Q1","Total","Females","16-74",72.2,8.1,4.9
"2014Q1","Total","Females","16-24",71.2,21.2,7.1
"2014Q1","Total","Females","25-54",79.5,5.6,5.0
"2014Q1","Total","Females","55-74",57.6,4.3,2.5
"2014Q1","Total","Females","16-64",77.6,8.2,5.0
"2014Q1","Total","Females","25-64",79.2,5.2,4.5
"2014Q1","Capital region","Males and females","16-74",74.4,6.9,6.5
"2014Q1","Capital region","Males and females","16-24",65.0,21.2,11.7
"2014Q1","Capital region","Males and females","25-54",81.9,4.3,6.2
"2014Q1","Capital region","Males and females","55-74",65.0,2.8,2.6
"2014Q1","Capital region","Males and females","16-64",78.7,6.9,6.6
"2014Q1","Capital region","Males and females","25-64",82.5,3.8,5.5
"2014Q1","Capital region","Males","16-74",75.6,5.6,7.6
"2014Q1","Capital region","Males","16-24",56.8,20.8,17.7
"2014Q1","Capital region","Males","25-54",84.5,3.3,6.5
"2014Q1","Capital region","Males","55-74",70.2,2.4,3.2
"2014Q1","Capital region","Males","16-64",79.1,5.5,7.9
"2014Q1","Capital region","Males","25-64",85.2,2.8,5.9
"2014Q1","Capital region","Females","16-74",73.2,8.1,5.3
"2014Q1","Capital region","Females","16-24",72.9,21.5,6.4
"2014Q1","Capital region","Females","25-54",79.3,5.4,6.0
"2014Q1","Capital region","Females","55-74",60.0,3.3,2.0
"2014Q1","Capital region","Females","16-64",78.3,8.3,5.3
"2014Q1","Capital region","Females","25-64",79.9,5.0,5.1
"2014Q1","Outside Capital region","Males and females","16-74",75.7,5.4,4.4
"2014Q1","Outside Capital region","Males and females","16-24",65.3,15.9,10.8
"2014Q1","Outside Capital region","Males and females","25-54",85.8,4.1,3.0
"2014Q1","Outside Capital region","Males and females","55-74",61.9,3.1,3.9
"2014Q1","Outside Capital region","Males and females","16-64",81.1,5.4,4.6
"2014Q1","Outside Capital region","Males and females","25-64",84.4,3.7,3.5
"2014Q1","Outside Capital region","Males","16-74",80.9,3.2,4.6
"2014Q1","Outside Capital region","Males","16-24",63.8,11.4,12.7
"2014Q1","Outside Capital region","Males","25-54",91.8,2.4,2.9
"2014Q1","Outside Capital region","Males","55-74",69.9,0.9,4.2
"2014Q1","Outside Capital region","Males","16-64",85.8,3.3,4.8
"2014Q1","Outside Capital region","Males","25-64",90.7,2.1,3.5
"2014Q1","Outside Capital region","Females","16-74",70.4,8.1,4.1
"2014Q1","Outside Capital region","Females","16-24",67.1,20.6,8.6
"2014Q1","Outside Capital region","Females","25-54",79.8,6.0,3.2
"2014Q1","Outside Capital region","Females","55-74",53.8,6.0,3.5
"2014Q1","Outside Capital region","Females","16-64",76.2,7.8,4.2
"2014Q1","Outside Capital region","Females","25-64",78.1,5.6,3.4
"2014Q2","Total","Males and females","16-74",78.2,5.2,5.9
"2014Q2","Total","Males and females","16-24",73.6,11.8,12.5
"2014Q2","Total","Males and females","25-54",86.5,3.9,4.8
"2014Q2","Total","Males and females","55-74",64.3,3.7,3.4
"2014Q2","Total","Males and females","16-64",83.6,5.2,6.0
"2014Q2","Total","Males and females","25-64",86.1,3.8,4.5
"2014Q2","Total","Males","16-74",81.9,2.9,5.8
"2014Q2","Total","Males","16-24",71.6,8.5,14.8
"2014Q2","Total","Males","25-54",90.7,1.8,3.9
"2014Q2","Total","Males","55-74",70.7,2.0,3.7
"2014Q2","Total","Males","16-64",86.5,2.9,5.8
"2014Q2","Total","Males","25-64",90.3,1.8,3.7
"2014Q2","Total","Females","16-74",74.6,7.7,6.0
"2014Q2","Total","Females","16-24",75.6,15.1,10.1
"2014Q2","Total","Females","25-54",82.3,6.2,5.7
"2014Q2","Total","Females","55-74",58.0,5.9,3.1
"2014Q2","Total","Females","16-64",80.6,7.7,6.2
"2014Q2","Total","Females","25-64",81.9,6.1,5.3
"2014Q2","Capital region","Males and females","16-74",78.2,5.5,6.4
"2014Q2","Capital region","Males and females","16-24",72.6,14.9,12.8
"2014Q2","Capital region","Males and females","25-54",86.2,3.7,5.6
"2014Q2","Capital region","Males and females","55-74",65.4,3.2,3.1
"2014Q2","Capital region","Males and females","16-64",83.2,5.6,6.5
"2014Q2","Capital region","Males and females","25-64",86.0,3.5,5.1
"2014Q2","Capital region","Males","16-74",81.7,3.6,6.0
"2014Q2","Capital region","Males","16-24",69.9,12.1,16.3
"2014Q2","Capital region","Males","25-54",90.2,1.9,4.1
"2014Q2","Capital region","Males","55-74",72.1,2.0,3.0
"2014Q2","Capital region","Males","16-64",85.6,3.5,6.1
"2014Q2","Capital region","Males","25-64",89.7,1.8,3.7
"2014Q2","Capital region","Females","16-74",74.9,7.5,6.8
"2014Q2","Capital region","Females","16-24",75.2,17.5,9.3
"2014Q2","Capital region","Females","25-54",82.3,5.6,7.1
"2014Q2","Capital region","Females","55-74",59.2,4.5,3.3
"2014Q2","Capital region","Females","16-64",80.9,7.7,7.0
"2014Q2","Capital region","Females","25-64",82.4,5.4,6.4
"2014Q2","Outside Capital region","Males and females","16-74",78.3,4.6,5.0
"2014Q2","Outside Capital region","Males and females","16-24",75.5,6.1,11.9
"2014Q2","Outside Capital region","Males and females","25-54",87.0,4.3,3.4
"2014Q2","Outside Capital region","Males and females","55-74",62.5,4.6,3.9
"2014Q2","Outside Capital region","Males and females","16-64",84.2,4.6,5.0
"2014Q2","Outside Capital region","Males and females","25-64",86.3,4.3,3.4
"2014Q2","Outside Capital region","Males","16-74",82.1,1.8,5.4
"2014Q2","Outside Capital region","Males","16-24",74.7,2.6,12.1
"2014Q2","Outside Capital region","Males","25-54",91.5,1.5,3.7
"2014Q2","Outside Capital region","Males","55-74",68.5,1.8,4.8
"2014Q2","Outside Capital region","Males","16-64",88.0,1.9,5.2
"2014Q2","Outside Capital region","Males","25-64",91.4,1.7,3.7
"2014Q2","Outside Capital region","Females","16-74",74.0,8.1,4.5
"2014Q2","Outside Capital region","Females","16-24",76.4,10.1,11.7
"2014Q2","Outside Capital region","Females","25-54",82.3,7.4,3.0
"2014Q2","Outside Capital region","Females","55-74",55.9,8.5,2.7
"2014Q2","Outside Capital region","Females","16-64",80.2,7.9,4.6
"2014Q2","Outside Capital region","Females","25-64",81.0,7.4,3.0
"2014Q3","Total","Males and females","16-74",79.1,3.3,4.0
"2014Q3","Total","Males and females","16-24",74.8,6.5,7.1
"2014Q3","Total","Males and females","25-54",86.6,2.9,3.7
"2014Q3","Total","Males and females","55-74",66.4,2.1,2.2
"2014Q3","Total","Males and females","16-64",84.0,3.2,4.1
"2014Q3","Total","Males and females","25-64",86.2,2.6,3.4
"2014Q3","Total","Males","16-74",82.3,2.0,3.5
"2014Q3","Total","Males","16-24",72.6,5.5,8.5
"2014Q3","Total","Males","25-54",90.3,1.0,2.8
"2014Q3","Total","Males","55-74",72.3,2.1,1.8
"2014Q3","Total","Males","16-64",86.2,1.9,3.7
"2014Q3","Total","Males","25-64",89.6,1.1,2.7
"2014Q3","Total","Females","16-74",75.8,4.8,4.5
"2014Q3","Total","Females","16-24",77.1,7.4,5.7
"2014Q3","Total","Females","25-54",82.9,5.0,4.7
"2014Q3","Total","Females","55-74",60.4,2.1,2.8
"2014Q3","Total","Females","16-64",81.7,4.7,4.6
"2014Q3","Total","Females","25-64",82.8,4.1,4.3
"2014Q3","Capital region","Males and females","16-74",79.3,3.3,4.3
"2014Q3","Capital region","Males and females","16-24",74.3,8.2,7.1
"2014Q3","Capital region","Males and females","25-54",86.3,2.6,4.0
"2014Q3","Capital region","Males and females","55-74",67.8,1.5,2.7
"2014Q3","Capital region","Males and females","16-64",83.7,3.3,4.5
"2014Q3","Capital region","Males and females","25-64",86.1,2.2,3.8
"2014Q3","Capital region","Males","16-74",83.4,2.6,3.6
"2014Q3","Capital region","Males","16-24",72.3,8.3,9.5
"2014Q3","Capital region","Males","25-54",90.7,1.3,2.5
"2014Q3","Capital region","Males","55-74",75.5,1.8,2.0
"2014Q3","Capital region","Males","16-64",86.3,2.4,3.8
"2014Q3","Capital region","Males","25-64",90.0,1.2,2.5
"2014Q3","Capital region","Females","16-74",75.4,4.1,5.1
"2014Q3","Capital region","Females","16-24",76.4,8.1,4.7
"2014Q3","Capital region","Females","25-54",82.0,3.9,5.7
"2014Q3","Capital region","Females","55-74",60.8,1.1,3.5
"2014Q3","Capital region","Females","16-64",81.1,4.1,5.1
"2014Q3","Capital region","Females","25-64",82.3,3.2,5.2
"2014Q3","Outside Capital region","Males and females","16-74",78.7,3.4,3.4
"2014Q3","Outside Capital region","Males and females","16-24",75.6,2.9,7.1
"2014Q3","Outside Capital region","Males and females","25-54",87.4,3.5,3.1
"2014Q3","Outside Capital region","Males and females","55-74",64.1,3.2,1.4
"2014Q3","Outside Capital region","Males and females","16-64",84.5,3.2,3.5
"2014Q3","Outside Capital region","Males and females","25-64",86.5,3.3,2.7
"2014Q3","Outside Capital region","Males","16-74",80.5,0.8,3.4
"2014Q3","Outside Capital region","Males","16-24",73.1,0.0,6.4
"2014Q3","Outside Capital region","Males","25-54",89.7,0.4,3.4
"2014Q3","Outside Capital region","Males","55-74",67.8,2.5,1.5
"2014Q3","Outside Capital region","Males","16-64",86.0,0.9,3.5
"2014Q3","Outside Capital region","Males","25-64",89.0,1.1,2.9
"2014Q3","Outside Capital region","Females","16-74",76.7,6.3,3.3
"2014Q3","Outside Capital region","Females","16-24",78.6,6.0,7.9
"2014Q3","Outside Capital region","Females","25-54",84.9,7.2,2.7
"2014Q3","Outside Capital region","Females","55-74",59.6,4.2,1.2
"2014Q3","Outside Capital region","Females","16-64",82.8,5.9,3.4
"2014Q3","Outside Capital region","Females","25-64",83.8,5.9,2.4
"2014Q4","Total","Males and females","16-74",77.5,4.6,4.1
"2014Q4","Total","Males and females","16-24",65.8,15.0,8.5
"2014Q4","Total","Males and females","25-54",86.5,2.6,3.8
"2014Q4","Total","Males and females","55-74",67.0,3.3,2.2
"2014Q4","Total","Males and females","16-64",81.9,4.7,4.3
"2014Q4","Total","Males and females","25-64",85.9,2.8,3.5
"2014Q4","Total","Males","16-74",80.1,3.4,4.3
"2014Q4","Total","Males","16-24",63.1,13.0,13.0
"2014Q4","Total","Males","25-54",89.4,1.6,3.1
"2014Q4","Total","Males","55-74",72.3,2.5,1.7
"2014Q4","Total","Males","16-64",83.6,3.5,4.6
"2014Q4","Total","Males","25-64",88.7,1.8,3.0
"2014Q4","Total","Females","16-74",75.0,5.9,3.9
"2014Q4","Total","Females","16-24",68.6,17.0,3.7
"2014Q4","Total","Females","25-54",83.5,3.5,4.4
"2014Q4","Total","Females","55-74",61.8,4.3,2.7
"2014Q4","Total","Females","16-64",80.3,6.0,4.0
"2014Q4","Total","Females","25-64",83.1,3.8,4.1
"2014Q4","Capital region","Males and females","16-74",78.4,4.7,4.7
"2014Q4","Capital region","Males and females","16-24",67.5,14.9,8.8
"2014Q4","Capital region","Males and females","25-54",86.1,2.7,4.3
"2014Q4","Capital region","Males and females","55-74",69.2,2.9,2.6
"2014Q4","Capital region","Males and females","16-64",82.0,4.9,4.9
"2014Q4","Capital region","Males and females","25-64",85.9,2.8,4.0
"2014Q4","Capital region","Males","16-74",80.8,3.8,4.7
"2014Q4","Capital region","Males","16-24",63.3,14.0,15.0
"2014Q4","Capital region","Males","25-54",89.7,1.8,2.8
"2014Q4","Capital region","Males","55-74",73.6,2.5,2.0
"2014Q4","Capital region","Males","16-64",83.4,4.0,5.0
"2014Q4","Capital region","Males","25-64",88.8,2.0,2.8
"2014Q4","Capital region","Females","16-74",76.1,5.6,4.7
"2014Q4","Capital region","Females","16-24",71.7,15.7,2.4
"2014Q4","Capital region","Females","25-54",82.5,3.6,5.9
"2014Q4","Capital region","Females","55-74",65.3,3.3,3.1
"2014Q4","Capital region","Females","16-64",80.8,5.9,4.8
"2014Q4","Capital region","Females","25-64",83.1,3.7,5.3
"2014Q4","Outside Capital region","Males and females","16-74",75.9,4.4,3.1
"2014Q4","Outside Capital region","Males and females","16-24",62.0,15.3,7.7
"2014Q4","Outside Capital region","Males and females","25-54",87.3,2.4,2.7
"2014Q4","Outside Capital region","Males and females","55-74",64.1,3.9,1.6
"2014Q4","Outside Capital region","Males and females","16-64",81.7,4.3,3.3
"2014Q4","Outside Capital region","Males and females","25-64",86.0,2.6,2.5
"2014Q4","Outside Capital region","Males","16-74",78.8,2.8,3.7
"2014Q4","Outside Capital region","Males","16-24",62.5,10.7,8.3
"2014Q4","Outside Capital region","Males","25-54",89.0,1.3,3.9
"2014Q4","Outside Capital region","Males","55-74",70.7,2.5,1.4
"2014Q4","Outside Capital region","Males","16-64",84.0,2.6,4.0
"2014Q4","Outside Capital region","Males","25-64",88.6,1.4,3.3
"2014Q4","Outside Capital region","Females","16-74",72.8,6.3,2.3
"2014Q4","Outside Capital region","Females","16-24",61.6,20.3,7.2
"2014Q4","Outside Capital region","Females","25-54",85.5,3.5,1.4
"2014Q4","Outside Capital region","Females","55-74",56.1,6.0,2.0
"2014Q4","Outside Capital region","Females","16-64",79.3,6.2,2.5
"2014Q4","Outside Capital region","Females","25-64",83.2,3.9,1.6
"2015Q1","Total","Males and females","16-74",77.5,5.9,4.3
"2015Q1","Total","Males and females","16-24",67.1,19.7,9.7
"2015Q1","Total","Males and females","25-54",86.8,3.7,3.3
"2015Q1","Total","Males and females","55-74",65.5,2.7,3.1
"2015Q1","Total","Males and females","16-64",82.4,6.0,4.4
"2015Q1","Total","Males and females","25-64",86.2,3.4,3.3
"2015Q1","Total","Males","16-74",80.5,4.0,4.2
"2015Q1","Total","Males","16-24",64.4,17.4,10.4
"2015Q1","Total","Males","25-54",90.3,1.6,3.0
"2015Q1","Total","Males","55-74",71.4,2.2,3.1
"2015Q1","Total","Males","16-64",84.5,3.9,4.3
"2015Q1","Total","Males","25-64",89.6,1.5,3.1
"2015Q1","Total","Females","16-74",74.4,8.0,4.4
"2015Q1","Total","Females","16-24",69.9,21.9,9.2
"2015Q1","Total","Females","25-54",83.2,6.0,3.5
"2015Q1","Total","Females","55-74",59.6,3.4,3.2
"2015Q1","Total","Females","16-64",80.2,8.3,4.6
"2015Q1","Total","Females","25-64",82.7,5.5,3.6
"2015Q1","Capital region","Males and females","16-74",78.4,6.2,4.8
"2015Q1","Capital region","Males and females","16-24",68.6,19.9,10.6
