"Income and taxes","Unit","Education","Sex","Age","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Taxes","Mean - total","Doctoral or equivalent level","Men","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","Doctoral or equivalent level","Women","Total",475,555,553,575,582,630,759,781,868,966,1124,1229,1479,1512,1522,1630,1819,2004,2439,2074,2111,2259,2617,2822,2776,2727,3049,3135,3212
"Taxes","Mean - total","Doctoral or equivalent level","Women","16 - 24 years",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Mean - total","Doctoral or equivalent level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Doctoral or equivalent level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Doctoral or equivalent level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Mean - total","Doctoral or equivalent level","Women","75 years and over",.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
"Taxes","Median - total","Total","Total","Total",72,80,76,89,94,101,132,151,184,224,265,332,356,365,409,446,504,536,608,572,524,592,644,695,759,833,967,1093,1193
"Taxes","Median - total","Total","Total","16 - 24 years",3,3,0,0,0,2,5,6,14,24,36,44,31,27,35,42,56,51,52,17,10,22,30,39,44,68,114,149,180
"Taxes","Median - total","Total","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Total","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Total","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Total","Total","75 years and over",2,3,1,18,16,17,36,56,69,91,111,141,166,191,226,222,249,266,320,306,291,354,368,392,444,475,561,828,918
"Taxes","Median - total","Total","Men","Total",195,212,200,215,220,234,282,314,366,425,481,563,583,583,637,693,758,798,857,765,724,808,876,943,999,1091,1248,1357,1464
"Taxes","Median - total","Total","Men","16 - 24 years",12,12,3,3,3,5,11,15,30,48,70,79,52,42,54,69,91,81,70,20,12,24,34,42,46,77,128,172,208
"Taxes","Median - total","Total","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Total","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Total","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Total","Men","75 years and over",3,3,3,18,18,18,41,59,72,99,121,157,184,204,244,241,270,288,345,329,309,367,381,419,482,516,606,863,956
"Taxes","Median - total","Total","Women","Total",25,28,27,37,42,48,66,80,104,133,162,219,238,256,293,311,351,377,451,450,413,469,509,548,607,675,789,922,1009
"Taxes","Median - total","Total","Women","16 - 24 years",0,1,0,0,0,0,2,3,7,13,19,26,21,19,24,27,37,35,41,15,8,21,28,37,41,61,103,130,159
"Taxes","Median - total","Total","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Total","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Total","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Total","Women","75 years and over",2,2,1,17,16,16,33,53,68,86,102,130,155,180,214,210,234,253,307,290,282,348,360,382,418,452,529,806,892
"Taxes","Median - total","Basic education","Total","Total",28,32,28,38,41,45,62,76,97,122,146,193,203,221,258,267,297,312,358,344,311,373,400,424,459,501,591,761,842
"Taxes","Median - total","Basic education","Total","16 - 24 years",2,2,0,0,0,0,2,3,7,14,22,26,17,14,18,24,34,30,31,10,6,11,12,14,13,24,44,56,59
"Taxes","Median - total","Basic education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Basic education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Basic education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Basic education","Total","75 years and over",1,1,1,15,10,11,28,46,57,78,92,121,142,165,198,198,222,239,290,272,265,331,341,363,394,423,502,766,847
"Taxes","Median - total","Basic education","Men","Total",85,94,80,86,90,96,125,143,175,211,250,302,311,312,352,383,425,449,481,410,360,433,487,538,577,632,758,908,1003
"Taxes","Median - total","Basic education","Men","16 - 24 years",10,10,2,1,2,3,6,9,18,32,51,54,32,24,31,44,58,48,41,12,7,13,16,18,19,32,59,85,94
"Taxes","Median - total","Basic education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Basic education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Basic education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Basic education","Men","75 years and over",1,0,1,14,6,9,27,41,51,74,92,121,142,161,197,199,225,242,292,280,264,323,335,363,406,436,514,776,864
"Taxes","Median - total","Basic education","Women","Total",14,17,15,23,26,29,42,52,69,90,110,154,165,187,222,225,252,265,316,316,288,346,367,388,419,453,528,688,757
"Taxes","Median - total","Basic education","Women","16 - 24 years",0,0,0,0,0,0,1,1,2,6,10,13,9,8,11,13,19,19,23,8,4,10,9,11,9,17,31,34,33
"Taxes","Median - total","Basic education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Basic education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Basic education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Basic education","Women","75 years and over",1,1,1,15,12,13,29,49,61,79,92,120,143,168,199,197,221,238,289,269,266,334,343,364,390,420,498,762,842
"Taxes","Median - total","Upper secondary education","Total","Total",147,157,146,159,160,168,207,233,273,319,369,429,455,453,489,531,591,621,685,618,567,622,661,706,770,842,970,1082,1170
"Taxes","Median - total","Upper secondary education","Total","16 - 24 years",7,7,2,4,4,7,16,23,38,53,76,87,71,67,76,92,115,108,124,52,39,65,88,111,144,202,278,324,361
"Taxes","Median - total","Upper secondary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Upper secondary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Upper secondary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Upper secondary education","Total","75 years and over",7,12,15,37,40,35,62,82,99,129,159,198,231,240,281,273,299,322,383,363,340,390,411,455,529,557,657,900,997
"Taxes","Median - total","Upper secondary education","Men","Total",264,282,276,289,294,308,359,395,448,505,570,650,666,662,708,764,825,862,920,818,772,844,894,958,1017,1107,1265,1363,1454
"Taxes","Median - total","Upper secondary education","Men","16 - 24 years",23,24,10,12,11,15,32,44,71,91,128,140,106,99,110,138,184,166,177,63,49,75,101,127,160,229,294,361,398
"Taxes","Median - total","Upper secondary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Upper secondary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Upper secondary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Upper secondary education","Men","75 years and over",6,11,11,33,37,30,58,76,92,124,150,189,220,232,268,262,290,306,366,347,323,376,393,434,502,533,623,870,963
"Taxes","Median - total","Upper secondary education","Women","Total",39,41,38,46,49,56,79,95,122,154,190,244,263,270,301,325,370,396,462,438,400,446,476,508,567,637,748,849,920
"Taxes","Median - total","Upper secondary education","Women","16 - 24 years",2,3,0,1,1,4,10,15,24,37,52,62,54,52,56,66,83,80,97,46,32,58,80,102,132,190,270,301,337
"Taxes","Median - total","Upper secondary education","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Upper secondary education","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Upper secondary education","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Upper secondary education","Women","75 years and over",12,16,23,44,49,50,79,101,124,150,180,219,261,267,311,299,324,361,437,411,377,431,463,509,598,641,748,991,1081
"Taxes","Median - total","- Vocational education at the upper secondary level","Total","Total",203,218,211,228,232,243,289,315,366,419,471,541,576,575,622,669,722,762,833,777,724,793,839,899,962,1041,1179,1282,1381
"Taxes","Median - total","- Vocational education at the upper secondary level","Total","16 - 24 years",38,41,27,33,33,51,70,69,103,125,152,185,162,168,189,235,261,276,297,198,175,196,260,279,297,363,450,610,742
"Taxes","Median - total","- Vocational education at the upper secondary level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- Vocational education at the upper secondary level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- Vocational education at the upper secondary level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- Vocational education at the upper secondary level","Total","75 years and over",7,11,13,35,38,33,60,80,96,126,155,192,226,237,277,266,292,314,375,356,330,383,402,443,513,542,638,884,982
"Taxes","Median - total","- Vocational education at the upper secondary level","Men","Total",298,321,317,331,343,358,411,444,499,561,625,712,734,733,782,841,900,942,1009,934,901,980,1048,1121,1190,1282,1437,1531,1637
"Taxes","Median - total","- Vocational education at the upper secondary level","Men","16 - 24 years",111,113,93,88,85,117,154,156,204,244,283,317,270,271,308,372,433,435,470,299,301,330,363,389,418,497,566,718,845
"Taxes","Median - total","- Vocational education at the upper secondary level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- Vocational education at the upper secondary level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- Vocational education at the upper secondary level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- Vocational education at the upper secondary level","Men","75 years and over",6,9,11,31,35,29,57,74,90,122,148,187,218,230,264,258,286,302,360,340,318,373,388,427,497,524,613,865,956
"Taxes","Median - total","- Vocational education at the upper secondary level","Women","Total",55,62,61,74,79,88,116,133,166,201,238,295,332,347,382,406,458,488,574,566,518,569,603,644,708,770,880,998,1082
"Taxes","Median - total","- Vocational education at the upper secondary level","Women","16 - 24 years",7,8,5,7,6,16,24,24,35,49,52,71,59,65,89,87,103,111,119,73,55,69,99,127,148,221,323,487,588
"Taxes","Median - total","- Vocational education at the upper secondary level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- Vocational education at the upper secondary level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- Vocational education at the upper secondary level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- Vocational education at the upper secondary level","Women","75 years and over",11,15,23,43,47,49,76,95,117,141,171,208,251,258,302,290,314,344,417,389,360,416,443,489,571,607,716,956,1053
"Taxes","Median - total","- General education at the upper secondary level","Total","Total",27,28,21,27,29,34,57,79,108,142,185,230,224,222,249,276,325,345,381,315,270,308,340,377,429,515,642,725,801
"Taxes","Median - total","- General education at the upper secondary level","Total","16 - 24 years",1,1,0,0,0,2,9,14,28,40,61,66,54,50,53,69,90,82,93,35,24,46,69,92,122,179,250,282,305
"Taxes","Median - total","- General education at the upper secondary level","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- General education at the upper secondary level","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- General education at the upper secondary level","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- General education at the upper secondary level","Total","75 years and over",53,60,63,89,121,93,149,166,264,285,330,411,437,396,432,483,469,505,592,575,537,585,606,713,832,859,933,1129,1186
"Taxes","Median - total","- General education at the upper secondary level","Men","Total",64,66,55,62,60,74,111,157,199,251,323,372,350,336,373,408,481,520,540,392,326,372,405,457,522,627,773,887,983
"Taxes","Median - total","- General education at the upper secondary level","Men","16 - 24 years",2,2,0,0,0,3,11,17,40,50,84,82,58,49,60,80,111,96,101,28,18,36,54,82,107,164,231,277,288
"Taxes","Median - total","- General education at the upper secondary level","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- General education at the upper secondary level","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- General education at the upper secondary level","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- General education at the upper secondary level","Men","75 years and over",73,93,108,93,127,105,196,190,255,268,314,417,442,417,452,515,545,580,658,608,619,673,682,766,846,886,937,1129,1165
"Taxes","Median - total","- General education at the upper secondary level","Women","Total",16,16,11,17,19,24,39,54,74,103,135,175,179,179,202,223,265,274,318,273,238,278,304,334,379,459,576,654,719
"Taxes","Median - total","- General education at the upper secondary level","Women","16 - 24 years",0,1,0,0,0,2,8,13,23,35,52,59,51,50,50,63,78,74,90,41,28,54,77,99,130,188,263,283,318
"Taxes","Median - total","- General education at the upper secondary level","Women","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- General education at the upper secondary level","Women","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- General education at the upper secondary level","Women","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","- General education at the upper secondary level","Women","75 years and over",46,24,27,65,91,66,138,156,264,289,340,397,421,361,427,429,424,487,560,552,488,532,578,684,821,827,928,1134,1201
"Taxes","Median - total","Tertiary education","Total","Total",324,342,333,356,381,387,457,486,567,653,716,848,910,921,964,1026,1087,1131,1252,1235,1205,1282,1348,1419,1497,1611,1740,1857,1963
"Taxes","Median - total","Tertiary education","Total","16 - 24 years",13,10,4,4,17,38,46,39,131,150,200,207,180,126,194,198,203,256,225,89,84,123,141,171,160,195,386,416,465
"Taxes","Median - total","Tertiary education","Total","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Tertiary education","Total","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Tertiary education","Total","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Tertiary education","Total","75 years and over",148,148,175,201,205,138,240,269,312,410,433,549,623,621,684,685,728,755,894,855,755,808,858,966,1118,1183,1324,1406,1508
"Taxes","Median - total","Tertiary education","Men","Total",521,556,557,592,618,636,736,784,868,960,1059,1208,1257,1278,1351,1425,1490,1568,1706,1641,1660,1778,1848,1933,2006,2093,2238,2303,2412
"Taxes","Median - total","Tertiary education","Men","16 - 24 years",11,15,9,8,29,70,84,61,171,238,319,232,190,136,195,205,233,285,263,102,123,147,155,187,150,245,442,423,505
"Taxes","Median - total","Tertiary education","Men","25 - 54 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Tertiary education","Men","55 - 74 years",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Tertiary education","Men","67 years and over",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"Taxes","Median - total","Tertiary education","Men","75 years and over",155,164,188,217,224,162,279,299,383,455,504,597,672,701,769,827,841,882,1056,1012,888,945,1014,1128,1308,1402,1609,1530,1630
