"ISCED level","Type of education","Degrees","Year","Narrow field of study","Total","Males","Females"
"Total","Total","Basic & first degree","2019","Social services",276,19,257
"Total","Total","Basic & first degree","2019","Personal services",250,71,179
"Total","Total","Basic & first degree","2019","Transport services",6,4,2
"Total","Total","Basic & first degree","2019","Environmental protection",1,0,1
"Total","Total","Basic & first degree","2019","Security services",330,148,182
"Total","Total","Basic & first degree","2019","Unknown",0,0,0
"Total","Total","Master's degree","1997","Total",398,152,246
"Total","Total","Master's degree","1997","Basic/broad, general programmes",0,0,0
"Total","Total","Master's degree","1997","Literacy and numeracy",0,0,0
"Total","Total","Master's degree","1997","Personal skills",0,0,0
"Total","Total","Master's degree","1997","Teacher training and educational science",146,28,118
"Total","Total","Master's degree","1997","Arts",2,2,0
"Total","Total","Master's degree","1997","Humanities",87,31,56
"Total","Total","Master's degree","1997","Social and behavioural science",34,18,16
"Total","Total","Master's degree","1997","Journalism and information",1,0,1
"Total","Total","Master's degree","1997","Business and administration",19,14,5
"Total","Total","Master's degree","1997","Law",0,0,0
"Total","Total","Master's degree","1997","Life science",27,13,14
"Total","Total","Master's degree","1997","Physical science",24,16,8
"Total","Total","Master's degree","1997","Mathematics and statistics",0,0,0
"Total","Total","Master's degree","1997","Computing",1,1,0
"Total","Total","Master's degree","1997","Science, not specified",0,0,0
"Total","Total","Master's degree","1997","Engineering and engineering trades",10,7,3
"Total","Total","Master's degree","1997","Manufacturing and processing",5,2,3
"Total","Total","Master's degree","1997","Architecture and building",0,0,0
"Total","Total","Master's degree","1997","Certified trades, not specified",0,0,0
"Total","Total","Master's degree","1997","Agriculture, forestry and fishery",6,5,1
"Total","Total","Master's degree","1997","Veterinary",0,0,0
"Total","Total","Master's degree","1997","Health",36,15,21
"Total","Total","Master's degree","1997","Social services",0,0,0
"Total","Total","Master's degree","1997","Personal services",0,0,0
"Total","Total","Master's degree","1997","Transport services",0,0,0
"Total","Total","Master's degree","1997","Environmental protection",0,0,0
"Total","Total","Master's degree","1997","Security services",0,0,0
"Total","Total","Master's degree","1997","Unknown",0,0,0
"Total","Total","Master's degree","1998","Total",415,145,270
"Total","Total","Master's degree","1998","Basic/broad, general programmes",0,0,0
"Total","Total","Master's degree","1998","Literacy and numeracy",0,0,0
"Total","Total","Master's degree","1998","Personal skills",0,0,0
"Total","Total","Master's degree","1998","Teacher training and educational science",119,20,99
"Total","Total","Master's degree","1998","Arts",0,0,0
"Total","Total","Master's degree","1998","Humanities",89,26,63
"Total","Total","Master's degree","1998","Social and behavioural science",29,15,14
"Total","Total","Master's degree","1998","Journalism and information",1,0,1
"Total","Total","Master's degree","1998","Business and administration",31,17,14
"Total","Total","Master's degree","1998","Law",0,0,0
"Total","Total","Master's degree","1998","Life science",27,11,16
"Total","Total","Master's degree","1998","Physical science",22,14,8
"Total","Total","Master's degree","1998","Mathematics and statistics",1,1,0
"Total","Total","Master's degree","1998","Computing",10,5,5
"Total","Total","Master's degree","1998","Science, not specified",0,0,0
"Total","Total","Master's degree","1998","Engineering and engineering trades",12,10,2
"Total","Total","Master's degree","1998","Manufacturing and processing",8,4,4
"Total","Total","Master's degree","1998","Architecture and building",0,0,0
"Total","Total","Master's degree","1998","Certified trades, not specified",0,0,0
"Total","Total","Master's degree","1998","Agriculture, forestry and fishery",7,6,1
"Total","Total","Master's degree","1998","Veterinary",0,0,0
"Total","Total","Master's degree","1998","Health",59,16,43
"Total","Total","Master's degree","1998","Social services",0,0,0
"Total","Total","Master's degree","1998","Personal services",0,0,0
"Total","Total","Master's degree","1998","Transport services",0,0,0
"Total","Total","Master's degree","1998","Environmental protection",0,0,0
"Total","Total","Master's degree","1998","Security services",0,0,0
"Total","Total","Master's degree","1998","Unknown",0,0,0
"Total","Total","Master's degree","1999","Total",522,207,315
"Total","Total","Master's degree","1999","Basic/broad, general programmes",0,0,0
"Total","Total","Master's degree","1999","Literacy and numeracy",0,0,0
"Total","Total","Master's degree","1999","Personal skills",0,0,0
"Total","Total","Master's degree","1999","Teacher training and educational science",112,15,97
"Total","Total","Master's degree","1999","Arts",0,0,0
"Total","Total","Master's degree","1999","Humanities",84,24,60
"Total","Total","Master's degree","1999","Social and behavioural science",55,26,29
"Total","Total","Master's degree","1999","Journalism and information",0,0,0
"Total","Total","Master's degree","1999","Business and administration",69,43,26
"Total","Total","Master's degree","1999","Law",0,0,0
"Total","Total","Master's degree","1999","Life science",56,30,26
"Total","Total","Master's degree","1999","Physical science",14,9,5
"Total","Total","Master's degree","1999","Mathematics and statistics",0,0,0
"Total","Total","Master's degree","1999","Computing",19,13,6
"Total","Total","Master's degree","1999","Science, not specified",0,0,0
"Total","Total","Master's degree","1999","Engineering and engineering trades",29,24,5
"Total","Total","Master's degree","1999","Manufacturing and processing",13,6,7
"Total","Total","Master's degree","1999","Architecture and building",0,0,0
"Total","Total","Master's degree","1999","Certified trades, not specified",0,0,0
"Total","Total","Master's degree","1999","Agriculture, forestry and fishery",10,8,2
"Total","Total","Master's degree","1999","Veterinary",0,0,0
"Total","Total","Master's degree","1999","Health",61,9,52
"Total","Total","Master's degree","1999","Social services",0,0,0
"Total","Total","Master's degree","1999","Personal services",0,0,0
"Total","Total","Master's degree","1999","Transport services",0,0,0
"Total","Total","Master's degree","1999","Environmental protection",0,0,0
"Total","Total","Master's degree","1999","Security services",0,0,0
"Total","Total","Master's degree","1999","Unknown",0,0,0
"Total","Total","Master's degree","2000","Total",563,219,344
"Total","Total","Master's degree","2000","Basic/broad, general programmes",0,0,0
"Total","Total","Master's degree","2000","Literacy and numeracy",0,0,0
"Total","Total","Master's degree","2000","Personal skills",0,0,0
"Total","Total","Master's degree","2000","Teacher training and educational science",113,12,101
"Total","Total","Master's degree","2000","Arts",0,0,0
"Total","Total","Master's degree","2000","Humanities",84,28,56
"Total","Total","Master's degree","2000","Social and behavioural science",54,25,29
"Total","Total","Master's degree","2000","Journalism and information",0,0,0
"Total","Total","Master's degree","2000","Business and administration",97,54,43
"Total","Total","Master's degree","2000","Law",0,0,0
"Total","Total","Master's degree","2000","Life science",54,26,28
"Total","Total","Master's degree","2000","Physical science",23,17,6
"Total","Total","Master's degree","2000","Mathematics and statistics",2,1,1
"Total","Total","Master's degree","2000","Computing",22,15,7
"Total","Total","Master's degree","2000","Science, not specified",0,0,0
"Total","Total","Master's degree","2000","Engineering and engineering trades",25,20,5
"Total","Total","Master's degree","2000","Manufacturing and processing",6,3,3
"Total","Total","Master's degree","2000","Architecture and building",1,0,1
"Total","Total","Master's degree","2000","Certified trades, not specified",0,0,0
"Total","Total","Master's degree","2000","Agriculture, forestry and fishery",7,5,2
"Total","Total","Master's degree","2000","Veterinary",0,0,0
"Total","Total","Master's degree","2000","Health",73,13,60
"Total","Total","Master's degree","2000","Social services",2,0,2
"Total","Total","Master's degree","2000","Personal services",0,0,0
"Total","Total","Master's degree","2000","Transport services",0,0,0
"Total","Total","Master's degree","2000","Environmental protection",0,0,0
"Total","Total","Master's degree","2000","Security services",0,0,0
"Total","Total","Master's degree","2000","Unknown",0,0,0
"Total","Total","Master's degree","2001","Total",669,233,436
"Total","Total","Master's degree","2001","Basic/broad, general programmes",0,0,0
"Total","Total","Master's degree","2001","Literacy and numeracy",0,0,0
"Total","Total","Master's degree","2001","Personal skills",0,0,0
"Total","Total","Master's degree","2001","Teacher training and educational science",154,22,132
"Total","Total","Master's degree","2001","Arts",0,0,0
"Total","Total","Master's degree","2001","Humanities",85,28,57
"Total","Total","Master's degree","2001","Social and behavioural science",80,31,49
"Total","Total","Master's degree","2001","Journalism and information",0,0,0
"Total","Total","Master's degree","2001","Business and administration",116,54,62
"Total","Total","Master's degree","2001","Law",0,0,0
"Total","Total","Master's degree","2001","Life science",49,20,29
"Total","Total","Master's degree","2001","Physical science",15,10,5
"Total","Total","Master's degree","2001","Mathematics and statistics",1,1,0
"Total","Total","Master's degree","2001","Computing",25,13,12
"Total","Total","Master's degree","2001","Science, not specified",0,0,0
"Total","Total","Master's degree","2001","Engineering and engineering trades",37,32,5
"Total","Total","Master's degree","2001","Manufacturing and processing",3,1,2
"Total","Total","Master's degree","2001","Architecture and building",4,4,0
