Year,Sex,Age,Education,Income and taxes,Unit,Value
2006,Men,Total,Basic education,Taxes,Mean - total,606000.0
2006,Men,16 - 24 years,Basic education,Taxes,Mean - total,234000.0
2006,Men,75 years and over,Basic education,Taxes,Mean - total,295000.0
2006,Women,Total,Basic education,Taxes,Mean - total,353000.0
2006,Women,16 - 24 years,Basic education,Taxes,Mean - total,100000.0
2006,Women,75 years and over,Basic education,Taxes,Mean - total,266000.0
2006,Total,Total,Upper secondary education,Taxes,Mean - total,792000.0
2006,Total,16 - 24 years,Upper secondary education,Taxes,Mean - total,225000.0
2006,Total,75 years and over,Upper secondary education,Taxes,Mean - total,459000.0
2006,Men,Total,Upper secondary education,Taxes,Mean - total,990000.0
2006,Men,16 - 24 years,Upper secondary education,Taxes,Mean - total,310000.0
2006,Men,75 years and over,Upper secondary education,Taxes,Mean - total,448000.0
2006,Women,Total,Upper secondary education,Taxes,Mean - total,517000.0
2006,Women,16 - 24 years,Upper secondary education,Taxes,Mean - total,158000.0
2006,Women,75 years and over,Upper secondary education,Taxes,Mean - total,486000.0
2006,Total,Total,Upper secondary education: vocational,Taxes,Mean - total,909000.0
2006,Total,16 - 24 years,Upper secondary education: vocational,Taxes,Mean - total,383000.0
2006,Total,75 years and over,Upper secondary education: vocational,Taxes,Mean - total,437000.0
2006,Men,Total,Upper secondary education: vocational,Taxes,Mean - total,1062000.0
2006,Men,16 - 24 years,Upper secondary education: vocational,Taxes,Mean - total,509000.0
2006,Men,75 years and over,Upper secondary education: vocational,Taxes,Mean - total,428000.0
2006,Women,Total,Upper secondary education: vocational,Taxes,Mean - total,588000.0
2006,Women,16 - 24 years,Upper secondary education: vocational,Taxes,Mean - total,191000.0
2006,Women,75 years and over,Upper secondary education: vocational,Taxes,Mean - total,461000.0
2006,Total,Total,Upper secondary education: general,Taxes,Mean - total,564000.0
2006,Total,16 - 24 years,Upper secondary education: general,Taxes,Mean - total,177000.0
2006,Total,75 years and over,Upper secondary education: general,Taxes,Mean - total,778000.0
2006,Men,Total,Upper secondary education: general,Taxes,Mean - total,756000.0
2006,Men,16 - 24 years,Upper secondary education: general,Taxes,Mean - total,218000.0
2006,Men,75 years and over,Upper secondary education: general,Taxes,Mean - total,976000.0
2006,Women,Total,Upper secondary education: general,Taxes,Mean - total,435000.0
2006,Women,16 - 24 years,Upper secondary education: general,Taxes,Mean - total,150000.0
2006,Women,75 years and over,Upper secondary education: general,Taxes,Mean - total,644000.0
2006,Total,Total,Tertiary education,Taxes,Mean - total,1409000.0
2006,Total,16 - 24 years,Tertiary education,Taxes,Mean - total,316000.0
2006,Total,75 years and over,Tertiary education,Taxes,Mean - total,1023000.0
2006,Men,Total,Tertiary education,Taxes,Mean - total,1875000.0
2006,Men,16 - 24 years,Tertiary education,Taxes,Mean - total,366000.0
2006,Men,75 years and over,Tertiary education,Taxes,Mean - total,1106000.0
2006,Women,Total,Tertiary education,Taxes,Mean - total,1019000.0
2006,Women,16 - 24 years,Tertiary education,Taxes,Mean - total,277000.0
2006,Women,75 years and over,Tertiary education,Taxes,Mean - total,824000.0
2006,Total,Total,Short-cycle tertiary education,Taxes,Mean - total,1092000.0
2006,Men,Total,Short-cycle tertiary education,Taxes,Mean - total,1373000.0
2006,Women,Total,Short-cycle tertiary education,Taxes,Mean - total,910000.0
2006,Total,Total,Bachelor's or equivalent level,Taxes,Mean - total,1261000.0
2006,Men,Total,Bachelor's or equivalent level,Taxes,Mean - total,1810000.0
2006,Women,Total,Bachelor's or equivalent level,Taxes,Mean - total,938000.0
2006,Total,Total,Master's or equivalent level,Taxes,Mean - total,1925000.0
2006,Men,Total,Master's or equivalent level,Taxes,Mean - total,2246000.0
2006,Women,Total,Master's or equivalent level,Taxes,Mean - total,1428000.0
2006,Total,Total,Doctoral or equivalent level,Taxes,Mean - total,2248000.0
2006,Men,Total,Doctoral or equivalent level,Taxes,Mean - total,2396000.0
2006,Women,Total,Doctoral or equivalent level,Taxes,Mean - total,1819000.0
2006,Total,Total,Total,Taxes,Median - total,504000.0
2006,Total,16 - 24 years,Total,Taxes,Median - total,56000.0
2006,Total,75 years and over,Total,Taxes,Median - total,249000.0
2006,Men,Total,Total,Taxes,Median - total,758000.0
2006,Men,16 - 24 years,Total,Taxes,Median - total,91000.0
2006,Men,75 years and over,Total,Taxes,Median - total,270000.0
2006,Women,Total,Total,Taxes,Median - total,351000.0
2006,Women,16 - 24 years,Total,Taxes,Median - total,37000.0
2006,Women,75 years and over,Total,Taxes,Median - total,234000.0
2006,Total,Total,Basic education,Taxes,Median - total,297000.0
2006,Total,16 - 24 years,Basic education,Taxes,Median - total,34000.0
2006,Total,75 years and over,Basic education,Taxes,Median - total,222000.0
2006,Men,Total,Basic education,Taxes,Median - total,425000.0
2006,Men,16 - 24 years,Basic education,Taxes,Median - total,58000.0
2006,Men,75 years and over,Basic education,Taxes,Median - total,225000.0
2006,Women,Total,Basic education,Taxes,Median - total,252000.0
2006,Women,16 - 24 years,Basic education,Taxes,Median - total,19000.0
2006,Women,75 years and over,Basic education,Taxes,Median - total,221000.0
2006,Total,Total,Upper secondary education,Taxes,Median - total,591000.0
2006,Total,16 - 24 years,Upper secondary education,Taxes,Median - total,115000.0
2006,Total,75 years and over,Upper secondary education,Taxes,Median - total,299000.0
2006,Men,Total,Upper secondary education,Taxes,Median - total,825000.0
2006,Men,16 - 24 years,Upper secondary education,Taxes,Median - total,184000.0
2006,Men,75 years and over,Upper secondary education,Taxes,Median - total,290000.0
2006,Women,Total,Upper secondary education,Taxes,Median - total,370000.0
2006,Women,16 - 24 years,Upper secondary education,Taxes,Median - total,83000.0
2006,Women,75 years and over,Upper secondary education,Taxes,Median - total,324000.0
2006,Total,Total,Upper secondary education: vocational,Taxes,Median - total,722000.0
2006,Total,16 - 24 years,Upper secondary education: vocational,Taxes,Median - total,261000.0
2006,Total,75 years and over,Upper secondary education: vocational,Taxes,Median - total,292000.0
2006,Men,Total,Upper secondary education: vocational,Taxes,Median - total,900000.0
2006,Men,16 - 24 years,Upper secondary education: vocational,Taxes,Median - total,433000.0
2006,Men,75 years and over,Upper secondary education: vocational,Taxes,Median - total,286000.0
2006,Women,Total,Upper secondary education: vocational,Taxes,Median - total,458000.0
2006,Women,16 - 24 years,Upper secondary education: vocational,Taxes,Median - total,103000.0
2006,Women,75 years and over,Upper secondary education: vocational,Taxes,Median - total,314000.0
2006,Total,Total,Upper secondary education: general,Taxes,Median - total,325000.0
2006,Total,16 - 24 years,Upper secondary education: general,Taxes,Median - total,90000.0
2006,Total,75 years and over,Upper secondary education: general,Taxes,Median - total,469000.0
2006,Men,Total,Upper secondary education: general,Taxes,Median - total,481000.0
2006,Men,16 - 24 years,Upper secondary education: general,Taxes,Median - total,111000.0
2006,Men,75 years and over,Upper secondary education: general,Taxes,Median - total,545000.0
2006,Women,Total,Upper secondary education: general,Taxes,Median - total,265000.0
2006,Women,16 - 24 years,Upper secondary education: general,Taxes,Median - total,78000.0
2006,Women,75 years and over,Upper secondary education: general,Taxes,Median - total,424000.0
2006,Total,Total,Tertiary education,Taxes,Median - total,1087000.0
2006,Total,16 - 24 years,Tertiary education,Taxes,Median - total,203000.0
2006,Total,75 years and over,Tertiary education,Taxes,Median - total,728000.0
2006,Men,Total,Tertiary education,Taxes,Median - total,1490000.0
2006,Men,16 - 24 years,Tertiary education,Taxes,Median - total,233000.0
2006,Men,75 years and over,Tertiary education,Taxes,Median - total,841000.0
2006,Women,Total,Tertiary education,Taxes,Median - total,877000.0
2006,Women,16 - 24 years,Tertiary education,Taxes,Median - total,181000.0
2006,Women,75 years and over,Tertiary education,Taxes,Median - total,507000.0
2006,Total,Total,Short-cycle tertiary education,Taxes,Median - total,974000.0
2006,Men,Total,Short-cycle tertiary education,Taxes,Median - total,1303000.0
2006,Women,Total,Short-cycle tertiary education,Taxes,Median - total,846000.0
2006,Total,Total,Bachelor's or equivalent level,Taxes,Median - total,978000.0
2006,Men,Total,Bachelor's or equivalent level,Taxes,Median - total,1406000.0
2006,Women,Total,Bachelor's or equivalent level,Taxes,Median - total,837000.0
2006,Total,Total,Master's or equivalent level,Taxes,Median - total,1554000.0
2006,Men,Total,Master's or equivalent level,Taxes,Median - total,1810000.0
2006,Women,Total,Master's or equivalent level,Taxes,Median - total,1233000.0
2006,Total,Total,Doctoral or equivalent level,Taxes,Median - total,1958000.0
2006,Men,Total,Doctoral or equivalent level,Taxes,Median - total,2071000.0
2006,Women,Total,Doctoral or equivalent level,Taxes,Median - total,1648000.0
2006,Total,Total,Total,Taxes,Number - total,204308000.0
2006,Total,16 - 24 years,Total,Taxes,Number - total,34290000.0
2006,Total,75 years and over,Total,Taxes,Number - total,16706000.0
2006,Men,Total,Total,Taxes,Number - total,100388000.0
2006,Men,16 - 24 years,Total,Taxes,Number - total,17440000.0
2006,Men,75 years and over,Total,Taxes,Number - total,7047000.0
2006,Women,Total,Total,Taxes,Number - total,103920000.0
2006,Women,16 - 24 years,Total,Taxes,Number - total,16850000.0
2006,Women,75 years and over,Total,Taxes,Number - total,9659000.0
2006,Total,Total,Basic education,Taxes,Number - total,89963000.0
2006,Total,16 - 24 years,Basic education,Taxes,Number - total,22899000.0
2006,Total,75 years and over,Basic education,Taxes,Number - total,11166000.0
2006,Men,Total,Basic education,Taxes,Number - total,39130000.0
2006,Men,16 - 24 years,Basic education,Taxes,Number - total,12403000.0
2006,Men,75 years and over,Basic education,Taxes,Number - total,3149000.0
2006,Women,Total,Basic education,Taxes,Number - total,50833000.0
