Year,Sex,Age,Unit,value
2008,Total,75 years and older,90%,557600
2008,Total,Total,95%,1069600
2008,Total,16 - 24 years,95%,414900
2008,Total,16 - 64 years,95%,1082300
2008,Total,16 - 74 years,95%,1088400
2008,Total,18 - 66 years,95%,1111100
2008,Total,25 - 54 years,95%,1147900
2008,Total,25 - 64 years,95%,1190400
2008,Total,25 - 74 years,95%,1187000
2008,Total,55 - 74 years,95%,1284100
2008,Total,67 years and older,95%,931800
2008,Total,75 years and older,95%,793400
2008,Total,Total,99%,2209700
2008,Total,16 - 24 years,99%,653700
2008,Total,16 - 64 years,99%,2190600
2008,Total,16 - 74 years,99%,2229700
2008,Total,18 - 66 years,99%,2259100
2008,Total,25 - 54 years,99%,2310600
2008,Total,25 - 64 years,99%,2465100
2008,Total,25 - 74 years,99%,2487300
2008,Total,55 - 74 years,99%,2845700
2008,Total,67 years and older,99%,2234200
2008,Total,75 years and older,99%,1887100
2008,Total,Total,Mean - conditional,452900
2008,Total,16 - 24 years,Mean - conditional,166200
2008,Total,16 - 64 years,Mean - conditional,461100
2008,Total,16 - 74 years,Mean - conditional,462200
2008,Total,18 - 66 years,Mean - conditional,482200
2008,Total,25 - 54 years,Mean - conditional,523300
2008,Total,25 - 64 years,Mean - conditional,535700
2008,Total,25 - 74 years,Mean - conditional,528700
2008,Total,55 - 74 years,Mean - conditional,541500
2008,Total,67 years and older,Mean - conditional,392800
2008,Total,75 years and older,Mean - conditional,346800
2008,Total,Total,Number - conditional,215314
2008,Total,16 - 24 years,Number - conditional,36323
2008,Total,16 - 64 years,Number - conditional,179778
2008,Total,16 - 74 years,Number - conditional,197941
2008,Total,18 - 66 years,Number - conditional,175694
2008,Total,25 - 54 years,Number - conditional,113589
2008,Total,25 - 64 years,Number - conditional,143455
2008,Total,25 - 74 years,Number - conditional,161618
2008,Total,55 - 74 years,Number - conditional,48029
2008,Total,67 years and older,Number - conditional,31016
2008,Total,75 years and older,Number - conditional,17373
2008,Men,Total,10%,112900
2008,Men,16 - 24 years,10%,34500
2008,Men,16 - 64 years,10%,101200
2008,Men,16 - 74 years,10%,108700
2008,Men,18 - 66 years,10%,136500
2008,Men,25 - 54 years,10%,201700
2008,Men,25 - 64 years,10%,205500
2008,Men,25 - 74 years,10%,204900
2008,Men,55 - 74 years,10%,209300
2008,Men,67 years and older,10%,186900
2008,Men,75 years and older,10%,175200
2008,Men,Total,20%,201000
2008,Men,16 - 24 years,20%,61100
2008,Men,16 - 64 years,20%,190300
2008,Men,16 - 74 years,20%,199800
2008,Men,18 - 66 years,20%,225000
2008,Men,25 - 54 years,20%,296800
2008,Men,25 - 64 years,20%,297500
2008,Men,25 - 74 years,20%,283000
2008,Men,55 - 74 years,20%,262100
2008,Men,67 years and older,20%,215200
2008,Men,75 years and older,20%,205600
2008,Men,Total,30%,263900
2008,Men,16 - 24 years,30%,83900
2008,Men,16 - 64 years,30%,274800
2008,Men,16 - 74 years,30%,274200
2008,Men,18 - 66 years,30%,304600
2008,Men,25 - 54 years,30%,372300
2008,Men,25 - 64 years,30%,374300
2008,Men,25 - 74 years,30%,359800
2008,Men,55 - 74 years,30%,328000
2008,Men,67 years and older,30%,238300
2008,Men,75 years and older,30%,225100
2008,Men,Total,40%,337300
2008,Men,16 - 24 years,40%,108300
2008,Men,16 - 64 years,40%,356500
2008,Men,16 - 74 years,40%,352300
2008,Men,18 - 66 years,40%,379900
2008,Men,25 - 54 years,40%,435800
2008,Men,25 - 64 years,40%,438100
2008,Men,25 - 74 years,40%,426000
2008,Men,55 - 74 years,40%,400300
2008,Men,67 years and older,40%,263800
2008,Men,75 years and older,40%,245200
2008,Men,Total,50%,412100
2008,Men,16 - 24 years,50%,135200
2008,Men,16 - 64 years,50%,430700
2008,Men,16 - 74 years,50%,426300
2008,Men,18 - 66 years,50%,448600
2008,Men,25 - 54 years,50%,496300
2008,Men,25 - 64 years,50%,499700
2008,Men,25 - 74 years,50%,488900
2008,Men,55 - 74 years,50%,468400
2008,Men,67 years and older,50%,299400
2008,Men,75 years and older,50%,270000
2008,Men,Total,60%,486600
2008,Men,16 - 24 years,60%,173400
2008,Men,16 - 64 years,60%,503300
2008,Men,16 - 74 years,60%,499600
2008,Men,18 - 66 years,60%,520000
2008,Men,25 - 54 years,60%,563700
2008,Men,25 - 64 years,60%,568700
2008,Men,25 - 74 years,60%,558800
2008,Men,55 - 74 years,60%,544400
2008,Men,67 years and older,60%,349600
2008,Men,75 years and older,60%,305300
2008,Men,Total,70%,574600
2008,Men,16 - 24 years,70%,222100
2008,Men,16 - 64 years,70%,590600
2008,Men,16 - 74 years,70%,587400
2008,Men,18 - 66 years,70%,606700
2008,Men,25 - 54 years,70%,649600
2008,Men,25 - 64 years,70%,657700
2008,Men,25 - 74 years,70%,648500
2008,Men,55 - 74 years,70%,646200
2008,Men,67 years and older,70%,425400
2008,Men,75 years and older,70%,354800
2008,Men,Total,80%,701200
2008,Men,16 - 24 years,80%,284700
2008,Men,16 - 64 years,80%,715200
2008,Men,16 - 74 years,80%,713800
2008,Men,18 - 66 years,80%,733000
2008,Men,25 - 54 years,80%,773600
2008,Men,25 - 64 years,80%,785400
2008,Men,25 - 74 years,80%,778400
2008,Men,55 - 74 years,80%,790800
2008,Men,67 years and older,80%,549400
2008,Men,75 years and older,80%,445500
2008,Men,Total,90%,943100
2008,Men,16 - 24 years,90%,380100
2008,Men,16 - 64 years,90%,954900
2008,Men,16 - 74 years,90%,958400
2008,Men,18 - 66 years,90%,980400
2008,Men,25 - 54 years,90%,1019300
2008,Men,25 - 64 years,90%,1047800
2008,Men,25 - 74 years,90%,1041900
2008,Men,55 - 74 years,90%,1100900
2008,Men,67 years and older,90%,803500
2008,Men,75 years and older,90%,658200
2008,Men,Total,95%,1273800
2008,Men,16 - 24 years,95%,466900
2008,Men,16 - 64 years,95%,1280000
2008,Men,16 - 74 years,95%,1288500
2008,Men,18 - 66 years,95%,1313100
2008,Men,25 - 54 years,95%,1352000
2008,Men,25 - 64 years,95%,1404500
2008,Men,25 - 74 years,95%,1405900
2008,Men,55 - 74 years,95%,1523700
2008,Men,67 years and older,95%,1135700
2008,Men,75 years and older,95%,917400
2008,Men,Total,99%,2579200
2008,Men,16 - 24 years,99%,747100
2008,Men,16 - 64 years,99%,2554600
2008,Men,16 - 74 years,99%,2622500
2008,Men,18 - 66 years,99%,2658900
2008,Men,25 - 54 years,99%,2779900
2008,Men,25 - 64 years,99%,2876700
2008,Men,25 - 74 years,99%,2886800
2008,Men,55 - 74 years,99%,3322100
2008,Men,67 years and older,99%,2631000
2008,Men,75 years and older,99%,2221900
2008,Men,Total,Mean - conditional,530700
2008,Men,16 - 24 years,Mean - conditional,183100
2008,Men,16 - 64 years,Mean - conditional,539100
2008,Men,16 - 74 years,Mean - conditional,541100
2008,Men,18 - 66 years,Mean - conditional,565500
2008,Men,25 - 54 years,Mean - conditional,618300
2008,Men,25 - 64 years,Mean - conditional,631600
2008,Men,25 - 74 years,Mean - conditional,624000
2008,Men,55 - 74 years,Mean - conditional,637600
2008,Men,67 years and older,Mean - conditional,458500
2008,Men,75 years and older,Mean - conditional,391000
2008,Men,Total,Number - conditional,106238
2008,Men,16 - 24 years,Number - conditional,18573
2008,Men,16 - 64 years,Number - conditional,90090
2008,Men,16 - 74 years,Number - conditional,98831
2008,Men,18 - 66 years,Number - conditional,87821
2008,Men,25 - 54 years,Number - conditional,56505
2008,Men,25 - 64 years,Number - conditional,71517
2008,Men,25 - 74 years,Number - conditional,80258
2008,Men,55 - 74 years,Number - conditional,23753
2008,Men,67 years and older,Number - conditional,13954
2008,Men,75 years and older,Number - conditional,7407
2008,Women,Total,10%,99300
2008,Women,16 - 24 years,10%,39200
2008,Women,16 - 64 years,10%,90700
2008,Women,16 - 74 years,10%,96400
2008,Women,18 - 66 years,10%,113600
2008,Women,25 - 54 years,10%,150500
2008,Women,25 - 64 years,10%,155500
2008,Women,25 - 74 years,10%,159600
2008,Women,55 - 74 years,10%,174900
2008,Women,67 years and older,10%,165800
2008,Women,75 years and older,10%,150200
2008,Women,Total,20%,165800
2008,Women,16 - 24 years,20%,64000
2008,Women,16 - 64 years,20%,153400
2008,Women,16 - 74 years,20%,161700
2008,Women,18 - 66 years,20%,174600
2008,Women,25 - 54 years,20%,214000
2008,Women,25 - 64 years,20%,215800
2008,Women,25 - 74 years,20%,212900
2008,Women,55 - 74 years,20%,211500
2008,Women,67 years and older,20%,193700
2008,Women,75 years and older,20%,187000
2008,Women,Total,30%,209700
2008,Women,16 - 24 years,30%,85100
2008,Women,16 - 64 years,30%,207000
2008,Women,16 - 74 years,30%,210500
2008,Women,18 - 66 years,30%,223100
2008,Women,25 - 54 years,30%,261900
2008,Women,25 - 64 years,30%,262100
2008,Women,25 - 74 years,30%,254600
2008,Women,55 - 74 years,30%,242400
2008,Women,67 years and older,30%,212700
2008,Women,75 years and older,30%,206900
2008,Women,Total,40%,248100
2008,Women,16 - 24 years,40%,104600
2008,Women,16 - 64 years,40%,255000
2008,Women,16 - 74 years,40%,253700
2008,Women,18 - 66 years,40%,268600
2008,Women,25 - 54 years,40%,309000
2008,Women,25 - 64 years,40%,308900
2008,Women,25 - 74 years,40%,298400
2008,Women,55 - 74 years,40%,277700
2008,Women,67 years and older,40%,230500
2008,Women,75 years and older,40%,223800
2008,Women,Total,50%,292600
2008,Women,16 - 24 years,50%,125200
2008,Women,16 - 64 years,50%,306300
2008,Women,16 - 74 years,50%,302100
2008,Women,18 - 66 years,50%,318500
2008,Women,25 - 54 years,50%,357600
2008,Women,25 - 64 years,50%,357800
2008,Women,25 - 74 years,50%,347100
2008,Women,55 - 74 years,50%,321300
2008,Women,67 years and older,50%,251700
2008,Women,75 years and older,50%,242700
2008,Women,Total,60%,346600
2008,Women,16 - 24 years,60%,149300
2008,Women,16 - 64 years,60%,362900
2008,Women,16 - 74 years,60%,358000
2008,Women,18 - 66 years,60%,373700
2008,Women,25 - 54 years,60%,407900
2008,Women,25 - 64 years,60%,408900
2008,Women,25 - 74 years,60%,399500
2008,Women,55 - 74 years,60%,374400
2008,Women,67 years and older,60%,278500
2008,Women,75 years and older,60%,266400
2008,Women,Total,70%,410500
2008,Women,16 - 24 years,70%,178900
2008,Women,16 - 64 years,70%,425700
2008,Women,16 - 74 years,70%,421000
2008,Women,18 - 66 years,70%,435600
2008,Women,25 - 54 years,70%,465000
2008,Women,25 - 64 years,70%,467400
2008,Women,25 - 74 years,70%,459000
2008,Women,55 - 74 years,70%,441700
2008,Women,67 years and older,70%,316600
2008,Women,75 years and older,70%,297700
2008,Women,Total,80%,491700
2008,Women,16 - 24 years,80%,217900
2008,Women,16 - 64 years,80%,505700
2008,Women,16 - 74 years,80%,502100
2008,Women,18 - 66 years,80%,515400
2008,Women,25 - 54 years,80%,542300
2008,Women,25 - 64 years,80%,547600
2008,Women,25 - 74 years,80%,539500
2008,Women,55 - 74 years,80%,531600
2008,Women,67 years and older,80%,384600
2008,Women,75 years and older,80%,351500
2008,Women,Total,90%,638800
2008,Women,16 - 24 years,90%,278400
2008,Women,16 - 64 years,90%,651500
2008,Women,16 - 74 years,90%,649600
2008,Women,18 - 66 years,90%,663500
2008,Women,25 - 54 years,90%,688600
2008,Women,25 - 64 years,90%,701900
2008,Women,25 - 74 years,90%,695300
2008,Women,55 - 74 years,90%,713700
2008,Women,67 years and older,90%,532700
2008,Women,75 years and older,90%,483100
2008,Women,Total,95%,824300
2008,Women,16 - 24 years,95%,337700
2008,Women,16 - 64 years,95%,832900
2008,Women,16 - 74 years,95%,834900
2008,Women,18 - 66 years,95%,852500
2008,Women,25 - 54 years,95%,878100
2008,Women,25 - 64 years,95%,901400
2008,Women,25 - 74 years,95%,896900
2008,Women,55 - 74 years,95%,949700
2008,Women,67 years and older,95%,737900
2008,Women,75 years and older,95%,666100
2008,Women,Total,99%,1693000
2008,Women,16 - 24 years,99%,516400
2008,Women,16 - 64 years,99%,1670400
2008,Women,16 - 74 years,99%,1697600
2008,Women,18 - 66 years,99%,1726900
2008,Women,25 - 54 years,99%,1738900
2008,Women,25 - 64 years,99%,1867700
2008,Women,25 - 74 years,99%,1877200
2008,Women,55 - 74 years,99%,2276200
2008,Women,67 years and older,99%,1725400
2008,Women,75 years and older,99%,1641700
2008,Women,Total,Mean - conditional,377100
2008,Women,16 - 24 years,Mean - conditional,148600
2008,Women,16 - 64 years,Mean - conditional,382700
2008,Women,16 - 74 years,Mean - conditional,383500
2008,Women,18 - 66 years,Mean - conditional,399000
2008,Women,25 - 54 years,Mean - conditional,429300
2008,Women,25 - 64 years,Mean - conditional,440400
2008,Women,25 - 74 years,Mean - conditional,434700
2008,Women,55 - 74 years,Mean - conditional,447500
2008,Women,67 years and older,Mean - conditional,339000
2008,Women,75 years and older,Mean - conditional,314000
2008,Women,Total,Number - conditional,109076
2008,Women,16 - 24 years,Number - conditional,17750
2008,Women,16 - 64 years,Number - conditional,89688
2008,Women,16 - 74 years,Number - conditional,99110
2008,Women,18 - 66 years,Number - conditional,87873
2008,Women,25 - 54 years,Number - conditional,57084
2008,Women,25 - 64 years,Number - conditional,71938
2008,Women,25 - 74 years,Number - conditional,81360
2008,Women,55 - 74 years,Number - conditional,24276
2008,Women,67 years and older,Number - conditional,17062
2008,Women,75 years and older,Number - conditional,9966
2009,Total,Total,10%,95400
2009,Total,16 - 24 years,10%,22100
2009,Total,16 - 64 years,10%,85300
2009,Total,16 - 74 years,10%,92000
2009,Total,18 - 66 years,10%,117500
2009,Total,25 - 54 years,10%,176600
2009,Total,25 - 64 years,10%,183200
2009,Total,25 - 74 years,10%,188400
2009,Total,55 - 74 years,10%,201800
2009,Total,67 years and older,10%,188600
2009,Total,75 years and older,10%,176100
2009,Total,Total,20%,182900
2009,Total,16 - 24 years,20%,48300
2009,Total,16 - 64 years,20%,164800
2009,Total,16 - 74 years,20%,177100
2009,Total,18 - 66 years,20%,193200
2009,Total,25 - 54 years,20%,245900
2009,Total,25 - 64 years,20%,248900
2009,Total,25 - 74 years,20%,244700
2009,Total,55 - 74 years,20%,243200
2009,Total,67 years and older,20%,214900
2009,Total,75 years and older,20%,204700
2009,Total,Total,30%,232900
2009,Total,16 - 24 years,30%,71300
2009,Total,16 - 64 years,30%,231300
2009,Total,16 - 74 years,30%,236200
2009,Total,18 - 66 years,30%,252500
2009,Total,25 - 54 years,30%,304400
2009,Total,25 - 64 years,30%,306700
2009,Total,25 - 74 years,30%,296100
2009,Total,55 - 74 years,30%,281300
2009,Total,67 years and older,30%,232500
2009,Total,75 years and older,30%,222500
2009,Total,Total,40%,278400
2009,Total,16 - 24 years,40%,93500
2009,Total,16 - 64 years,40%,291600
2009,Total,16 - 74 years,40%,289700
2009,Total,18 - 66 years,40%,311100
2009,Total,25 - 54 years,40%,363800
2009,Total,25 - 64 years,40%,365700
2009,Total,25 - 74 years,40%,352300
2009,Total,55 - 74 years,40%,328600
2009,Total,67 years and older,40%,249600
2009,Total,75 years and older,40%,237900
2009,Total,Total,50%,336500
2009,Total,16 - 24 years,50%,117200
2009,Total,16 - 64 years,50%,358000
2009,Total,16 - 74 years,50%,352600
2009,Total,18 - 66 years,50%,375800
2009,Total,25 - 54 years,50%,423200
2009,Total,25 - 64 years,50%,426200
2009,Total,25 - 74 years,50%,413700
2009,Total,55 - 74 years,50%,387700
2009,Total,67 years and older,50%,269500
2009,Total,75 years and older,50%,252800
2009,Total,Total,60%,407700
2009,Total,16 - 24 years,60%,144600
2009,Total,16 - 64 years,60%,429500
2009,Total,16 - 74 years,60%,424000
2009,Total,18 - 66 years,60%,444500
2009,Total,25 - 54 years,60%,484800
2009,Total,25 - 64 years,60%,489100
2009,Total,25 - 74 years,60%,477500
2009,Total,55 - 74 years,60%,458500
2009,Total,67 years and older,60%,296000
2009,Total,75 years and older,60%,271500
2009,Total,Total,70%,488100
2009,Total,16 - 24 years,70%,181000
2009,Total,16 - 64 years,70%,508100
2009,Total,16 - 74 years,70%,503000
2009,Total,18 - 66 years,70%,522000
2009,Total,25 - 54 years,70%,557800
2009,Total,25 - 64 years,70%,563500
2009,Total,25 - 74 years,70%,553800
2009,Total,55 - 74 years,70%,542900
2009,Total,67 years and older,70%,339700
2009,Total,75 years and older,70%,298300
2009,Total,Total,80%,593300
2009,Total,16 - 24 years,80%,228800
2009,Total,16 - 64 years,80%,611900
2009,Total,16 - 74 years,80%,608300
2009,Total,18 - 66 years,80%,626800
2009,Total,25 - 54 years,80%,660200
2009,Total,25 - 64 years,80%,670300
2009,Total,25 - 74 years,80%,660700
2009,Total,55 - 74 years,80%,662100
2009,Total,67 years and older,80%,421800
2009,Total,75 years and older,80%,350400
2009,Total,Total,90%,787700
2009,Total,16 - 24 years,90%,305700
2009,Total,16 - 64 years,90%,806600
2009,Total,16 - 74 years,90%,805300
2009,Total,18 - 66 years,90%,823900
2009,Total,25 - 54 years,90%,854200
2009,Total,25 - 64 years,90%,872500
2009,Total,25 - 74 years,90%,865200
2009,Total,55 - 74 years,90%,892900
2009,Total,67 years and older,90%,602000
2009,Total,75 years and older,90%,486900
2009,Total,Total,95%,1021800
2009,Total,16 - 24 years,95%,386200
2009,Total,16 - 64 years,95%,1041900
2009,Total,16 - 74 years,95%,1043600
2009,Total,18 - 66 years,95%,1069800
2009,Total,25 - 54 years,95%,1101700
2009,Total,25 - 64 years,95%,1135800
2009,Total,25 - 74 years,95%,1128600
2009,Total,55 - 74 years,95%,1197700
2009,Total,67 years and older,95%,825700
2009,Total,75 years and older,95%,663800
2009,Total,Total,99%,1913900
2009,Total,16 - 24 years,99%,643600
2009,Total,16 - 64 years,99%,1926500
2009,Total,16 - 74 years,99%,1946200
2009,Total,18 - 66 years,99%,1978400
2009,Total,25 - 54 years,99%,2010800
2009,Total,25 - 64 years,99%,2110700
2009,Total,25 - 74 years,99%,2115300
2009,Total,55 - 74 years,99%,2384200
2009,Total,67 years and older,99%,1747000
2009,Total,75 years and older,99%,1403700
2009,Total,Total,Mean - conditional,434600
2009,Total,16 - 24 years,Mean - conditional,150000
2009,Total,16 - 64 years,Mean - conditional,444300
2009,Total,16 - 74 years,Mean - conditional,445000
2009,Total,18 - 66 years,Mean - conditional,466100
2009,Total,25 - 54 years,Mean - conditional,507000
2009,Total,25 - 64 years,Mean - conditional,520400
2009,Total,25 - 74 years,Mean - conditional,512600
2009,Total,55 - 74 years,Mean - conditional,525800
2009,Total,67 years and older,Mean - conditional,364500
2009,Total,75 years and older,Mean - conditional,315700
2009,Total,Total,Number - conditional,221665
2009,Total,16 - 24 years,Number - conditional,38045
2009,Total,16 - 64 years,Number - conditional,185039
2009,Total,16 - 74 years,Number - conditional,203864
2009,Total,18 - 66 years,Number - conditional,180613
2009,Total,25 - 54 years,Number - conditional,115930
2009,Total,25 - 64 years,Number - conditional,146994
2009,Total,25 - 74 years,Number - conditional,165819
2009,Total,55 - 74 years,Number - conditional,49889
2009,Total,67 years and older,Number - conditional,31892
2009,Total,75 years and older,Number - conditional,17801
2009,Men,Total,10%,98000
